SEGMENTID,LON,LAT,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
56579,-73.82020897,40.71117071,0,,1,12017,6,4206531,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,229351,BISHOP MOLLOY
218251,-73.92395912,40.59143605,0,,2,13639,2,3343823,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,FDNY,,3310509,GERRITSEN BEACH LIBRARY
156961,-73.75769478,40.71925946,0,,1,11990,4,4225414,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,251412,INCARNATION SCHOOL
89453,-73.84512669,40.88615771,151,G,1,7910,3,0,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,1,NYCHA,23002501,0,EDENWALD HOUSES COMPLEX
100755,-73.73670418,40.72319827,0,,2,11750,4,4229342,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,351425,OL LOURDES SCHOOL
26027,-73.95296542,40.57902682,0,,1,11828,2,3246002,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,9,NYPD,,3306081,MANHATTAN BEACH BETH EL
17457,-74.03532417,40.6392835,0,,,12065,11,3144936,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,11,EMS,,3188603,MARINE AVIATION
118967,-73.78828395,40.59097865,0,,,4971,2,4459305,4,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,DoITT,,336930,LUCILLE ROSE DCC
9001243,-73.93279577,40.75994637,0,,,4972,2,4003978,4,05/14/2009 12:00:00 AM +0000,12/10/2010 12:00:00 AM +0000,5,DoITT,,5199,ALL CHILDREN'S INFANT CARE
24322,-73.98693036,40.70269289,0,,2,1028808,5,3000090,3,11/25/2016 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,OTHER,,3000224,WORLD MUSIC INSTITUTE
148751,-73.87074586,40.80829884,19,,1,1028809,3,2115239,2,11/25/2016 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,7,OTHER,,9101697,KRASDALE FOODS DIST
302788,-73.91259373,40.57691597,0,,,6836,11,0,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,6,NOAA,,0,GERRITSEN INLET BUOY 7
46496,-73.8980003,40.63792388,0,,1,3858,2,3231710,3,05/14/2009 12:00:00 AM +0000,11/15/2016 12:00:00 AM +0000,9,EMS,,3289527,AAA SFARD CONGR
55202,-73.8133666,40.68325237,0,,1,12122,4,4448916,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,276926,OUR LADYS CATHOLIC ACADEMY 128 STREET CAMPUS
7504,-74.12683186,40.56520683,0,,2,2878,5,5058330,5,05/14/2009 12:00:00 AM +0000,11/15/2016 12:00:00 AM +0000,7,NYPD,,5075382,CANLONS RESTAURANT
145359,-74.07561923,40.5807429,0,N,1,19905,4,0,5,12/15/2008 12:00:00 AM +0000,09/18/2013 12:00:00 AM +0000,4,DCP,51135001,0,MIDLAND BOARDWALK AND BEACH
169796,-73.80932357,40.58620203,0,,,4023,1,4303594,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,9,EMS,,0,ST ROSE LIMA CHUR
52028,-73.83865956,40.68606688,0,,2,11969,4,4198431,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,220713,ST MARY SCHOOL GATE HEAVN
107836,-73.84071927,40.71881466,0,,1,1002511,4,4443187,4,09/03/2010 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,OTHER,,86435,OUR LADY QUEEN OF MARTYRS SCHOOL
65326,-73.73763025,40.69846281,0,,2,1002512,4,4243292,4,09/03/2010 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,OTHER,,270698,SACRED HEART SCHOOL 221 ST
9003771,-73.93767039,40.67308296,55,X,1,13351,3,3324614,3,05/14/2009 12:00:00 AM +0000,07/10/2012 12:00:00 AM +0000,1,DCP,31214503,3043932,ALBANY HOUSES BUILDING 2
26149,-73.95016016,40.59444282,0,,,4408,2,3202176,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3255451,FANTASIA DCC
22864,-73.97855234,40.6681803,0,,,16282,2,3025606,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3031701,BERKELEY CARROLL CCC
20312,-73.98821158,40.62870652,0,,,12066,2,3130163,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,9,EMS,,3316558,BETH SHEARIM YESHIVA
57704,-73.78876773,40.59391204,0,,2,1002509,2,4436431,4,09/03/2010 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,1,OTHER,,336688,NORDECKER CO-OP
157194,-73.8373999,40.65062117,0,,1,1028748,2,4296026,4,11/18/2016 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,7,OTHER,,328527,CROSS BAY HONDA SUZUKI
34649,-73.97799063,40.73891956,0,,2,1020446,7,1020607,1,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,2,OTHER,,1022683,TWENTY-SIXTH STREET APARTMENT RESIDENCE NYU COLLEGE OF DENTISTRY
76625,-73.87553354,40.75684578,0,N,1,10474,1,4034862,4,05/14/2009 12:00:00 AM +0000,05/07/2013 12:00:00 AM +0000,11,EMS,40012101,39410,NYPD PRECINCT 115
9002934,-73.96566408,40.79823099,138,X,1,17142,3,1079419,1,05/14/2009 12:00:00 AM +0000,02/08/2013 12:00:00 AM +0000,1,DCP,11135505,1046480,DOUGLASS II HOUSES BUILDING 13
152786,-74.13194859,40.68179635,0,,,6366,11,0,,05/14/2009 12:00:00 AM +0000,06/06/2011 12:00:00 AM +0000,6,NOAA,,0,17
35011,-73.95511615,40.73106203,0,,1,1020464,1,3064583,3,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,9,OTHER,,3083504,ST ELIAS CHURCH
35807,-73.97807356,40.75543657,0,,2,1020484,4,1088581,1,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,7,OTHER,,9117883,GOTHAM HOTL
9002835,-73.96826348,40.78835321,385,,2,1019210,3,1081754,1,03/04/2013 12:00:00 AM +0000,03/04/2013 12:00:00 AM +0000,1,OTHER,,1028268,BROWNSTONES HOUSES BUILDING 27
9007656,-73.94765173,40.81327648,305,X,1,8163,3,1081513,1,05/14/2009 12:00:00 AM +0000,02/22/2013 12:00:00 AM +0000,1,DCP,13129512,1049308,ST NICHOLAS HOUSES BUILDING 11
52005,-73.8397481,40.68218743,0,N,1,10744,1,4201325,4,05/14/2009 12:00:00 AM +0000,02/14/2013 12:00:00 AM +0000,11,EMS,40010301,223839,PCT 106
32741,-73.99232797,40.7276511,0,N,1,5901,4,1008785,1,05/14/2009 12:00:00 AM +0000,02/27/2013 12:00:00 AM +0000,3,DoITT,11284501,1011110,MERCHANTS HOUSE MUSEUM
9006035,-73.94675812,40.79838192,333,G,1,8269,3,0,1,05/14/2009 12:00:00 AM +0000,02/26/2013 12:00:00 AM +0000,1,NYCHA,13220501,0,TAFT PROJECTS
74730,-73.88316026,40.73284828,2758,G,1,1020504,1,0,4,06/11/2013 12:00:00 AM +0000,07/31/2013 12:00:00 AM +0000,9,OTHER,40000902,0,ST ADALBERT'S CHURCH COMPLEX
24526,-73.9844529,40.71151664,469,X,1,17728,2,1003212,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,DCP,12137704,1003640,GOUVERNEUR GARDENS BUILDING 3
42118,-73.92979251,40.66051015,0,,,17244,2,3099663,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3135552,TRIUMPHANT DEAR GOD CHRISITAN CENTER
24541,-73.98441518,40.71336328,469,G,1,13402,2,0,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,OTHER,12137701,0,GOUVERNEUR GARDENS
159259,-73.94804035,40.80487829,0,,1,3587,1,1057632,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,9,NYPD,,1047983,MT OLIVET BAPT CH
26109,-73.94996524,40.58815789,0,,1,3866,1,3336751,3,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,9,EMS,,0,ST MARKS CHURCH R C
80092,-73.89586363,40.87237929,398,X,2,7679,7,2097312,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,DoITT,24580004,2026808,DAVIS HALL
78850,-73.8919088,40.85333888,0,,1,1028875,3,2011594,2,12/06/2016 12:00:00 AM +0000,12/07/2016 12:00:00 AM +0000,10,OTHER,,9210098,UNION COMMUNITY HEALTH CENTER 3 AV
30790,-73.96041068,40.71506127,0,,1,14773,7,3062457,3,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,4,DoITT,,3080136,METROPOLITAN RECREATION CENTER
37477,-73.96115002,40.7773308,0,,2,1028671,5,1046639,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,3,OTHER,,1036674,ALASKA ON MADISON
236855,-74.00915894,40.73954494,0,N,2,1028672,4,1089239,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,3,OTHER,11399501,5165930,WHITNEY ART MUSEUM
23848,-73.99362625,40.69403489,0,,,4314,2,3002073,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3003062,KIDDIE KORNER PRE-SCHOOL
9017006,-73.98265307,40.74015311,0,,2,2322,4,1018080,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,NYPD,,1060556,CARLTON ARMS HOTEL
36005,-73.97239714,40.76182943,0,,2,1028673,3,1035789,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,10,OTHER,,1031050,STRANG CANCER PREVENTION INSTITUTE
164448,-73.98371381,40.73252908,0,,2,1028674,7,1020414,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1022414,THE NEW SCHOOL STUYVESANT PARK RESIDENCE
9003317,-73.98468941,40.71286002,469,X,1,8353,2,1003215,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,DCP,12137703,0,GOUVERNEUR GARDENS BUILDING 2
32939,-73.98855662,40.73232868,0,,1,1028675,7,1076070,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1011571,THE NEW SCHOOL LOEB HALL RESIDENCE
24528,-73.98408081,40.71235658,0,N,2,13123,3,1003214,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,DOE,10014401,5128861,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
46221,-73.90294399,40.63748973,0,N,2,13059,3,3000000,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,13,DCP,32462801,0,CANARSIE CEMETERY
28941,-73.97739083,40.68065392,0,,1,1028676,7,3018704,3,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,3023888,THE NEW SCHOOL KERREY HALL RESIDENCE
32910,-73.98767177,40.72755418,0,,2,15085,1,1006266,1,05/14/2009 12:00:00 AM +0000,04/15/2011 12:00:00 AM +0000,9,NYPD,,1007933,MIDDLE COLLEGIATE CHURCH
42640,-73.91637654,40.65620221,0,,,17274,2,3102632,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3138985,CALVERY DAY CARE CENTER
32617,-73.99755113,40.73525105,0,,2,14324,7,1009567,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,DoITT,,1012075,THE NEW SCHOOL EUGENE LANG COLLEGE
36005,-73.9729093,40.76206761,0,,1,2575,2,1035778,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,NYPD,,1061560,IBM 212 407 4444
24528,-73.98433942,40.71200014,0,N,2,15844,9,0,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,4,DoITT,11178501,0,LILLIAN D WALD PLAYGROUND
33534,-74.00045197,40.74350978,0,,1,1026615,7,1013220,1,07/22/2015 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1016535,THE NEW SCHOOL 20 ST RESIDENCE
37438,-73.96451565,40.77335066,0,,1,1028670,2,1041644,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,OTHER,,1033578,APPLE STORE UPPER EAST SIDE
26964,-73.96118674,40.61038226,0,,1,15108,1,3181726,3,05/14/2009 12:00:00 AM +0000,12/21/2010 12:00:00 AM +0000,9,NYPD,,3230399,ADVENT GRAVESEND CHURCH
35805,-73.98126355,40.7571738,0,,2,1028429,4,1081126,1,09/15/2016 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,7,OTHER,,1030314,HOTEL AT TIMES SQUARE
17129,-74.02331946,40.61541581,0,,1,1028569,4,3388853,3,10/07/2016 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,OTHER,,5174069,HAMILTON PARK NURSING & REHABILITATION CENTER
17208,-74.02290042,40.61518478,0,,2,10942,1,3388854,3,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,10,EMS,,5143032,SUNY DOWNSTATE BAYRIDGE
36134,-73.97035969,40.75875361,0,,2,3588,1,1036474,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,9,NYPD,,5160836,ST PETER LUTHERAN CHURCH
159103,-73.97196377,40.75921613,0,,2,14819,2,1071457,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,DoITT,,1031330,THE CITIGROUP CHILDRENS CENTER AT 399 PARK AV
158589,-73.97221447,40.75847214,0,,2,16747,2,1036465,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,7,NYPD,,1031306,SEAGRAMS & SONS
164118,-74.0118649,40.72009271,540,,1,18753,7,0,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,2,NYPD,,0,MANHATTAN COMM CLGE PARKING LOT
78948,-73.88881459,40.83943586,0,,,5135,2,2010091,2,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,DoITT,,2018089,TREMONT MONTEREY DCC SITE 1
31568,-74.01099095,40.72062548,0,,1,16483,2,1082816,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,DoITT,,1002386,THE CITI CHILDRENS CENTER AT 388 GREENWICH ST
81301,-73.87803403,40.88158786,0,,2,11370,4,2018257,2,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,EMS,,2030653,BAINBRIDGE NURSIG
150165,-73.91952452,40.83162674,0,,2,15309,4,2002827,2,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,FDNY,,2102131,CONCOURSE NURSING HOME
47404,-73.89864377,40.66966198,0,,1,7258,2,0,3,05/14/2009 12:00:00 AM +0000,02/07/2011 12:00:00 AM +0000,7,FDNY,,0,CON ED BROWNSVILLE SUBSTATION
69178,-73.93832085,40.80160467,0,,1,15250,1,1074330,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,9,NYPD,,1044504,ELMENDORF RFRMD CH
42582,-73.91454176,40.64372773,508,X,2,7034,3,3337458,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,7,DCP,38477004,3320316,BROOKLYN TERMINAL MARKET BLDG C
69095,-73.93974011,40.80645795,0,,2,15261,1,1054092,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,9,EMS,,1044038,METROPOLTN CMMTY METH CH
91555,-73.8184736,40.76920142,0,,,9282,2,4108596,4,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,DoITT,,121410,MIMI & FRIENDS DC #1
28669,-73.94884201,40.63978995,0,,2,15263,1,3328291,3,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,9,EMS,,0,ST JEROMES CHURCH
